"Budget","Species","Design","N","n","BPUE","s2","Bycatch","Power"
5250000,"Laysan Alb.","FMP.CWB",4670,636,"7.77e-03","2.19e-05",37,0.99
5250000,"Laysan Alb.","FMP.EQUAL",4670,548,"7.77e-03","3.11e-05",37,0.98
5250000,"Laysan Alb.","FMP.PROX",4670,568,"7.77e-03","1.74e-05",37,0.98
5250000,"Laysan Alb.","FMP.STATUS_QUO",4670,826,"7.77e-03","3.58e-05",37,0.99
5250000,"Short-tailed Alb.","CURRENT.CWB",4670,651,"9.31e-07","1.57e-12",1,0.13
5250000,"Short-tailed Alb.","CURRENT.EQUAL",4670,549,"9.31e-07","1.70e-12",1,0.11
5250000,"Short-tailed Alb.","CURRENT.PROX",4670,624,"9.31e-07","1.81e-12",1,0.13
5250000,"Short-tailed Alb.","CURRENT.STATUS_QUO",4670,827,"9.31e-07","2.35e-12",1,0.17
5250000,"Short-tailed Alb.","FIXED_FMP.CWB",4670,614,"8.27e-07","5.82e-13",1,0.13
5250000,"Short-tailed Alb.","FIXED_FMP.EQUAL",4670,547,"8.27e-07","1.01e-12",1,0.11
5250000,"Short-tailed Alb.","FIXED_FMP.PROX",4670,589,"8.27e-07","3.66e-13",1,0.12
5250000,"Short-tailed Alb.","FIXED_FMP.STATUS_QUO",4670,827,"8.27e-07","1.36e-12",1,0.17
5250000,"Short-tailed Alb.","FMP.CWB",4670,636,"6.70e-07","7.80e-13",1,0.13
5250000,"Short-tailed Alb.","FMP.EQUAL",4670,548,"6.70e-07","1.25e-12",1,0.11
5250000,"Short-tailed Alb.","FMP.PROX",4670,568,"6.70e-07","2.08e-13",1,0.12
5250000,"Short-tailed Alb.","FMP.STATUS_QUO",4670,826,"6.70e-07","1.72e-12",1,0.17
5250000,"Steller SL","CURRENT.CWB",2827,339,"7.63e-04","2.04e-06",3,0.25
5250000,"Steller SL","CURRENT.EQUAL",2827,333,"7.63e-04","2.40e-06",3,0.25
5250000,"Steller SL","CURRENT.PROX",2827,344,"7.63e-04","2.22e-06",3,0.25
5250000,"Steller SL","CURRENT.STATUS_QUO",2827,248,"7.63e-04","3.33e-06",3,0.19
5250000,"Steller SL","FIXED_FMP.CWB",2827,327,"9.27e-04","3.56e-06",3,0.28
5250000,"Steller SL","FIXED_FMP.EQUAL",2827,331,"9.27e-04","3.24e-06",3,0.28
5250000,"Steller SL","FIXED_FMP.PROX",2827,332,"9.27e-04","4.31e-06",3,0.28
5250000,"Steller SL","FIXED_FMP.STATUS_QUO",2827,248,"9.27e-04","4.49e-06",3,0.21
5250000,"Steller SL","FMP.CWB",2827,331,"7.86e-04","2.47e-06",3,0.25
5250000,"Steller SL","FMP.EQUAL",2827,331,"7.86e-04","2.50e-06",3,0.25
5250000,"Steller SL","FMP.PROX",2827,323,"7.86e-04","3.47e-06",3,0.25
5250000,"Steller SL","FMP.STATUS_QUO",2827,247,"7.86e-04","3.46e-06",3,0.19
