"Budget","Metric","Design","Method_Gear-FMP","N","n","Effect","EPM","Power"
3500000,"DURATION","FIXED_FMP.CWB","OB_FIXED-BSAI",361,30,2.21,50.3,0.98
3500000,"RETAINED_CATCH","FIXED_FMP.CWB","OB_FIXED-BSAI",361,30,10.46,28.2,0.23
3500000,"SPECIES","FIXED_FMP.CWB","OB_FIXED-BSAI",361,30,-0.1,-5.3,0.08
3500000,"DURATION","FIXED_FMP.CWB","OB_FIXED-GOA",2077,107,0.43,10.9,0.28
3500000,"RETAINED_CATCH","FIXED_FMP.CWB","OB_FIXED-GOA",2077,107,0.14,1.7,0.05
3500000,"SPECIES","FIXED_FMP.CWB","OB_FIXED-GOA",2077,107,-0.17,-6.3,0.18
3500000,"DURATION","FIXED_FMP.CWB","OB_TRW-BSAI",21,3,0.12,4.3,0.05
3500000,"RETAINED_CATCH","FIXED_FMP.CWB","OB_TRW-BSAI",21,3,-26.83,-39.7,0.09
3500000,"SPECIES","FIXED_FMP.CWB","OB_TRW-BSAI",21,3,-0.38,-11.7,0.06
3500000,"DURATION","FIXED_FMP.CWB","OB_TRW-GOA",368,32,0.23,12.3,0.16
3500000,"RETAINED_CATCH","FIXED_FMP.CWB","OB_TRW-GOA",368,32,3.38,3.4,0.06
3500000,"SPECIES","FIXED_FMP.CWB","OB_TRW-GOA",368,32,-0.49,-10.1,0.16
3500000,"DURATION","FIXED_FMP.EQUAL","EM_FIXED-BSAI",89,5,1.1,24.8,0.16
3500000,"RETAINED_CATCH","FIXED_FMP.EQUAL","EM_FIXED-BSAI",89,5,-2.77,-9,0.06
3500000,"SPECIES","FIXED_FMP.EQUAL","EM_FIXED-BSAI",89,5,0.1,5.5,0.05
3500000,"DURATION","FIXED_FMP.EQUAL","EM_FIXED-GOA",986,58,0.08,2,0.06
3500000,"RETAINED_CATCH","FIXED_FMP.EQUAL","EM_FIXED-GOA",986,58,-0.85,-8.8,0.13
3500000,"SPECIES","FIXED_FMP.EQUAL","EM_FIXED-GOA",986,58,-0.21,-7.1,0.15
3500000,"DURATION","FIXED_FMP.EQUAL","EM_TRW-GOA",768,45,-0.12,-7,0.06
3500000,"RETAINED_CATCH","FIXED_FMP.EQUAL","EM_TRW-GOA",768,45,-4.39,-3.9,0.06
3500000,"SPECIES","FIXED_FMP.EQUAL","EM_TRW-GOA",768,45,-0.16,-3.2,0.06
3500000,"DURATION","FIXED_FMP.EQUAL","OB_FIXED-BSAI",361,21,2.21,50.3,0.94
3500000,"RETAINED_CATCH","FIXED_FMP.EQUAL","OB_FIXED-BSAI",361,21,10.46,28.2,0.19
3500000,"SPECIES","FIXED_FMP.EQUAL","OB_FIXED-BSAI",361,21,-0.1,-5.3,0.07
3500000,"DURATION","FIXED_FMP.EQUAL","OB_FIXED-GOA",2077,122,0.43,10.9,0.31
3500000,"RETAINED_CATCH","FIXED_FMP.EQUAL","OB_FIXED-GOA",2077,122,0.14,1.7,0.05
3500000,"SPECIES","FIXED_FMP.EQUAL","OB_FIXED-GOA",2077,122,-0.17,-6.3,0.19
3500000,"DURATION","FIXED_FMP.EQUAL","OB_TRW-BSAI",21,1,0.12,4.3,0.05
3500000,"RETAINED_CATCH","FIXED_FMP.EQUAL","OB_TRW-BSAI",21,1,-26.83,-39.7,0.06
3500000,"SPECIES","FIXED_FMP.EQUAL","OB_TRW-BSAI",21,1,-0.38,-11.7,0.05
3500000,"DURATION","FIXED_FMP.EQUAL","OB_TRW-GOA",368,22,0.23,12.3,0.13
